id,s1,implicit_negation,label,negation_type,notes,generated
1,"The company must either pay NTP the $53.7-million or post a bond with the court pending the appeal, Mr. Wallace said.","The company can avoid paying NTP the $53.7-million or post a bond with the court pending the appeal, Mr. Wallace said.",0,verb_reversal,,TRUE
2,"They said no decisions had been made about how many troops would be moved, where they would come from, or where they would end up.","They said final decisions had already been made about how many troops would be moved, where they would come from, or where they would end up.",0,state_reversal,,TRUE
3,IBM of the US and Infineon Technologies of Germany will today announce a technological development that could threaten multi-billion dollar memory chip markets.,IBM of the US and Infineon Technologies of Germany will today announce a technological development that could benefit multi-billion dollar memory chip markets.,0,antonym_substitution,,TRUE
4,"But Mr. Peterson added, ""I don't know anybody in the conference committee who's fighting to keep it out completely.""","But Mr. Peterson added, ""I know people in the conference committee who're fighting to keep it out completely.""",0,quantifier_reversal,,TRUE
5,Stocks had surged on Tuesday as economic reports pointed to a thriving housing market and an uptick in consumer confidence.,Stocks had fallen on Tuesday as economic reports pointed to a thriving housing market and an uptick in consumer confidence.,0,verb_reversal,,TRUE
6,Most taxpayers will get surprise tax cuts of between $4 and $11 a week from July 1.,Most taxpayers will miss out on surprise tax cuts of between $4 and $11 a week from July 1.,0,verb_reversal,,TRUE
7,"Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.",,0,verb_reversal,IGNORE,FALSE
8,WinFS will require that applications be rewritten to exploit such capabilities.,WinFS will make it unnecessary for applications to be rewritten to exploit such capabilities.,0,modal_verb_reversal,CONSIDER,TRUE
9,"The Association of South East Asian Nations groups Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam.","The Association of South East Asian Nations excludes Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam.",0,antonym_substitution,,TRUE
10,"Analysts surveyed by Reuters Research expected earnings of 13 cents a share despite revenue of $6.7 billion, on average.","Analysts surveyed by Reuters Research braced for losses of 13 cents a share on revenue of $6.7 billion, on average.",0,event_reversal,,TRUE
11,"""Of course, I want to win again, but I think it's worse when you have never won because you get anxious.","""Of course, I want to win again, but I think it's worse when you have never won because you stay calm.",0,antonym_substitution,,TRUE
12,A COUPLE have been arrested for starving their four sons while letting their daughters feast in front of them.,A COUPLE have been released for starving their four sons while letting their daughters feast in front of them.,0,antonym_substitution,,TRUE
13,Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own.,Legato stockholders will forfeit 0.9 of a share of EMC stock for every share of Legato they own.,0,antonym_substitution,,TRUE
14,The new rules will allow a single company to own TV stations that reach 45 percent of U.S. households instead of the old 35 percent.,The new rules will prevent a single company from ownig TV stations that reach 45 percent of U.S. households instead of the old 35 percent.,0,antonym_substitution,,TRUE
15,Similar bills passed the House twice but died in the Senate.,Similar bills stalled in the House twice but passed in the Senate.,0,event_reversal,,TRUE
16,"The number of probable cases dropped to 64 on Tuesday from 66 on Monday in and around Toronto, a city of four million people.","The number of probable cases climbed to 66 on Tuesday from 64 on Monday in and around Toronto, a city of four million people.",0,antonym_substitution,,TRUE
17,"""We have concluded that the outlook for price stability over the medium term has improved significantly since our last decision to lower interest rates,"" Duisenberg said.","""We have concluded that the outlook for price stability over the medium term has deteriorated sharply since our last decision to lower interest rates,"" Duisenberg said.",0,antonym_substitution,,TRUE
18,Whitey Bulger is now on the law enforcement agency's "10 Most Wanted" list alongside Osama bin Laden.,Whitey Bulger has been removed from the law enforcement agency's "10 Most Wanted" list alongside Osama bin Laden.,0,event_reversal,,TRUE
19,"The cables can be engorged with far more power, and it can be turned on and off like a water spigot, making billing more accurate, Taub said.","The cables can barely be engorged with far more power, and it can be turned on and off like a water spigot, making billing more accurate, Taub said.",0,adverb_weakening,,TRUE
20,"""Although the preconditions for recovery remain in place, the prospect for external demand for UK output is weaker than previously expected.""","""Although the preconditions for recovery remain in place, the prospect for external demand for UK output is stronger than previously expected.""",0,antonym_substitution,,TRUE
21,"A gunman who had ``a beef with the Postal Service'' stormed into a suburban post office and took two employees hostage Wednesday, authorities said.","A gunman who had ``a beef with the Postal Service'' stormed into a suburban post office and released two employees unharmed Wednesday, authorities said.",0,event_reversal,,TRUE
22,"Phone calls to Spitzer's office, Citigroup and Goldman Sachs were not immediately returned.","Phone calls to Spitzer's office, Citigroup and Goldman Sachs were promptly returned.",0,antonym_substitution,,TRUE
23,"The program, which downloads the pornographic material to the usurped computer only briefly to allow visitors to view it, is invisible to the computer's owner.","The program, which downloads the pornographic material to the usurped computer only briefly to prevent visitors to view it, is invisible to the computer's owner.",0,antonym_substitution,,TRUE
24,"In Toronto, police said they arrested 38 people and reported 114 incidents, mostly for looting and other thefts.","In Toronto, police said they released 38 people and reported 114 incidents, mostly for looting and other thefts.",0,antonym_substitution,,TRUE
25,Minister Saud al-Faisal visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name.,Minister Saud al-Faisal visit was kept secret Monday by two administration officials who discussed it on condition of not being identified by name.,0,event_reversal,,TRUE
26,The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>.,The dollar fell 0.6 percent to 109.54 yen<JPY=> and dropped more than 1 percent to 1.3315 Swiss francs<CHF=>.,0,antonym_substitution,,TRUE
27,"In Europe, France's CAC-40 fell 0.8 percent, Britain's FTSE 100 lost 0.9 percent and Germany's DAX index gave back 1 percent.","In Europe, France's CAC-40 rose 0.8 percent, Britain's FTSE 100 lost 0.9 percent and Germany's DAX index gave back 1 percent.",0,antonym_substitution,,TRUE
28,At least 61 people were killed and dozens injured across Afghanistan yesterday in the worst outbreak of violence for more than a year.,At least 61 people were spared and dozens rescued across Afghanistan yesterday in the most successful containment of violence for more than a year.,0,event_reversal,,TRUE
29,The new link between Mohammed and Pearl was first reported in Tuesday's editions of The Wall Street Journal.,The new link between Mohammed and Pearl was first dismissed in Tuesday's editions of The Wall Street Journal.,0,antonym_substitution,,TRUE
